event_id,action_id,round_id,buyer_offer_id,buyer_id,listing_id,property_id,agent_id,action_price,sales_price,original_list_price,final_listing_price,unit_sales_price,de_action_price,de_sales_price,de_unit_sales_price,de_original_list_price,de_final_listing_price,actor,action,multiple_buyers,multiple_buyers_adjusted,number_of_additional_offers,number_of_add_offers_adjusted,total_num_buyers_action,total_num_buyers_round,total_num_buyers_event,deal_status,censustract,property_latitude,property_longitude,property_type,num_bedrooms,num_bathrooms,approx_sq_ft,lot_sq_ft,financing_contingency_waived,inspection_contingency_waived,escalation_clause,preinspection,client_letter,year_built,deal_status_notes,walk_score,transit_score,bike_score,prob_offer_sub_date,listing_date,off_market_date,sales_date,offer_submitted_date,offer_accepted_date,action_date,zipcode,listing_year
001370852fffd22950e8d19c12f0988b_2016-04-06,2,1,7a5f7f7be3e6c423151ee470cf1670f7,f62b8095bec2b36d4282d55fe35b9ec4,576cbe6c9ea6c868637f85b6e3360d6a,001370852fffd22950e8d19c12f0988b,060afc8a563aaccd288f98b7c8723b61,480000,5.00E+05,519000,519000,191.7913361,435486.4375,453631.7188,174.0052643,470869.7188,470869.7188,buyer,buyer_offer,FALSE,FALSE,NA,0,1,1,1,Closed (Success),17043846405,41.78583908,-88.17610931,Single Family Residential,4,2.5,2607,11438,FALSE,FALSE,FALSE,FALSE,FALSE,1968,NA,20,0,42,0,2016/4/6 05:00,2016/4/22,2016/6/20 04:59,2016/4/24 12:10,2016/4/21 23:59,2016/4/24,60563,2016
001370852fffd22950e8d19c12f0988b_2016-04-06,1,1,,,576cbe6c9ea6c868637f85b6e3360d6a,001370852fffd22950e8d19c12f0988b,,519000,5.00E+05,519000,519000,191.7913361,470869.7188,453631.7188,174.0052643,470869.7188,470869.7188,seller,seller_initialize,,,NA,NA,NA,1,1,,17043846405,41.78583908,-88.17610931,Single Family Residential,4,2.5,2607,11438,FALSE,FALSE,FALSE,FALSE,FALSE,1968,NA,20,0,42,0,2016/4/6 05:00,2016/4/22,2016/6/20 04:59,2016/4/24 12:10,,2016/4/6,60563,2016
00b2fd07ffb644247149c0dc546b113b_2012-09-28,2,1,a9f55616f04bc4d42200ab35302f6d60,9f5f583e4a11c52613c342ce65756495,2c69eea89b80343be4627b43dc63cf7c,00b2fd07ffb644247149c0dc546b113b,70ece1e1e0931919438fcfc6bd5f199c,262000,264000,279900,279900,154.7479553,251809.7344,249355.9531,146.1641083,269013.5313,269013.5313,buyer,buyer_offer,FALSE,FALSE,NA,0,1,1,1,Closed (Success),48113001203,32.80247116,-96.74323273,Single Family Residential,3,2,1706,7405,FALSE,FALSE,FALSE,FALSE,FALSE,1941,NA,34,29,46,0,2012/9/28 00:01,2012/12/19,2013/1/29 00:00,2012/12/19 18:44,2012/12/19 23:59,2012/12/19,75223,2012
00b2fd07ffb644247149c0dc546b113b_2012-09-28,1,1,,,2c69eea89b80343be4627b43dc63cf7c,00b2fd07ffb644247149c0dc546b113b,,279900,264000,279900,279900,154.7479553,269013.5313,249355.9531,146.1641083,269013.5313,269013.5313,seller,seller_initialize,,,NA,NA,NA,1,1,,48113001203,32.80247116,-96.74323273,Single Family Residential,3,2,1706,7405,FALSE,FALSE,FALSE,FALSE,FALSE,1941,NA,34,29,46,0,2012/9/28 00:01,2012/12/19,2013/1/29 00:00,2012/12/19 18:44,,2012/9/28,75223,2012
01299f50f55038becc1001c41787419d_2019-10-01,1,1,,,4286edd2af249cd7cee74b8c6d4b9b56,01299f50f55038becc1001c41787419d,,330000,340000,330000,330000,307.9710083,282119.7813,290668.875,263.2870178,282119.7813,282119.7813,seller,seller_initialize,,,NA,NA,NA,1,1,,13089020400,33.76196289,-84.34465027,Condo/Co-op,2,1,1104,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2008,NA,77,56,69,0,2019/9/30 23:59,2019/10/4,2019/11/5 00:00,2019/10/3 12:40,,2019/9/30,30307,2019
01299f50f55038becc1001c41787419d_2019-10-01,2,1,88924d1db08411d9d0db2f92288643b0,f762b6d41041c31d2e8dcfd1a449bc1f,4286edd2af249cd7cee74b8c6d4b9b56,01299f50f55038becc1001c41787419d,8d9538d163f6009cec27b8e61cbdd981,340000,340000,330000,330000,307.9710083,290668.875,290668.875,263.2870178,282119.7813,282119.7813,buyer,buyer_offer,FALSE,FALSE,NA,0,1,1,1,Closed (Success),13089020400,33.76196289,-84.34465027,Condo/Co-op,2,1,1104,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2008,NA,77,56,69,0,2019/9/30 23:59,2019/10/4,2019/11/5 00:00,2019/10/3 12:40,2019/10/4 00:00,2019/10/3,30307,2019
04da69484c9acd761d8952be43a0060b_2017-11-01,1,1,,,1354ed52dfdc845dccca8f36570cc0de,04da69484c9acd761d8952be43a0060b,,575000,NA,575000,575000,NA,511945.5313,NA,NA,511945.5313,511945.5313,seller,seller_initialize,,,NA,NA,NA,1,1,,12095018700,28.55816269,-81.40851593,Single Family Residential,4,3.5,2816,10407,FALSE,FALSE,FALSE,FALSE,FALSE,1959,NA,23,39,34,0,2017/11/1 00:00,2018/5/17,,2018/5/18 04:32,,2017/11/1,32804,2017
04da69484c9acd761d8952be43a0060b_2017-11-01,2,1,6df96aa72c121ad5c5ece55e4b61e4d5,380e49604436f78316e8ece7d6bc20af,1354ed52dfdc845dccca8f36570cc0de,04da69484c9acd761d8952be43a0060b,233f1dd0f3f537bcb7a338ea74d63483,550000,NA,575000,575000,NA,478398.2813,NA,NA,511945.5313,511945.5313,buyer,buyer_offer,FALSE,FALSE,NA,0,1,1,1,Offer Failed Due to Failed Inspection,12095018700,28.55816269,-81.40851593,Single Family Residential,4,3.5,2816,10407,FALSE,FALSE,FALSE,FALSE,FALSE,1959,NA,23,39,34,0,2017/11/1 00:00,2018/5/17,,2018/5/18 04:32,2018/5/16 23:59,2018/5/18,32804,2017
053dfd0e9a1bcd20c18f41cb70cdaaf6_2018-08-14,1,1,,,8a82fbdb27b2a9b1d29ed2fa420b4237,053dfd0e9a1bcd20c18f41cb70cdaaf6,,239900,239900,239900,239900,144.5180664,208668.6406,208668.6406,125.7039871,208668.6406,208668.6406,seller,seller_initialize,,,3,3,4,4,4,,12109020801,30.11327171,-81.57654572,Single Family Residential,4,2,1660,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2003,NA,4,0,27,0,2018/8/13 23:59,2018/8/24,2018/9/6 23:59,2018/8/15 14:33,,2018/8/13,32259,2018
053dfd0e9a1bcd20c18f41cb70cdaaf6_2018-08-14,2,1,5de19e029352148caf5bbdd5ccaca0db,011e1e995b116b87c97b9791505b6cb0,8a82fbdb27b2a9b1d29ed2fa420b4237,053dfd0e9a1bcd20c18f41cb70cdaaf6,9c7f9ec6a570ab270604c03a8614d588,239900,239900,239900,239900,144.5180664,208668.6406,208668.6406,125.7039871,208668.6406,208668.6406,buyer,buyer_offer,TRUE,TRUE,3,3,4,4,4,Closed (Success),12109020801,30.11327171,-81.57654572,Single Family Residential,4,2,1660,NA,FALSE,FALSE,FALSE,FALSE,FALSE,2003,NA,4,0,27,0,2018/8/13 23:59,2018/8/24,2018/9/6 23:59,2018/8/15 14:33,2018/8/14 23:59,2018/8/15,32259,2018
